city,state,lat,lon,comp,ext,extc,fnd,fndc,avg,avgc
Silicon Valley,CA,37.37,-122.04,886,1620558100,"$1,620,558,100",1808168069,"$1,808,168,069",6801377,"$6,801,377"
Atlanta,GA,33.755,-84.3900,16,0,"$0",20860000,"$20,860,000",1303750,"$1,303,750"
Austin,TX,30.25,-97.7500,24,500000,"$500,000",7795000,"$7,795,000",595221,"$595,221"
Boston,MA,42.3581,-71.0636,57,9000000,"$9,000,000",93170926,"$93,170,926",1634577,"$1,634,577"
Boulder,CO,40.0176,-105.2797,66,33000000,"$33,000,000",151441174,"$151,441,174",2294563,"$2,294,563"
Chicago,IL,41.8819,-87.6278,40,19500000,"$19,500,000",31313242,"$31,313,242",1127274,"$1,127,274"
Cincinnati,OH,39.1000,-84.5167,34,0,"$0",29960000,"$29,960,000",1373846,"$1,373,846"
Columbus,OH,39.9833,-82.9833,19,0,"$0",1570000,"$1,570,000",82631,"$82,631"
Dallas,TX,32.7758,-96.7967,26,0,"$0",7219000,"$7,219,000",277653,"$277,653"
Grand Rapids,MI,42.9612,-85.6557,11,0,"$0",1666271,"$1,666,271",151479,"$151,479"
Houston,TX,29.7628,-95.3831,22,0,"$0",11759848,"$11,759,848",534538,"$534,538"
Los Angeles,CA,34.0500,-118.2500,90,2000000,"$2,000,000",42480591,"$42,480,591",2216810,"$2,216,810"
Nashville,TN,36.1667,-86.7833,21,0,"$0",4405000,"$4,405,000",209761,"$209,761"
New York,NY,40.7127,-74.0059,159,22500000,"$22,500,000",130876137,"$130,876,137",5884075,"$5,884,075"
Philadelphia,PA,39.95,-75.1700,63,500000,"$500,000",80815000,"$80,815,000",1282777,"$1,282,777"
Pittsburgh,PA,40.4417,-80.0000,66,0,"$0",13920310,"$13,920,310",210913,"$210,913"
Portland,OR,45.52,-122.6819,45,0,"$0",50348979,"$50,348,979",2253958,"$2,253,958"
Providence,RI,41.8236,-71.4222,71,14000000,"$14,000,000",15565000,"$15,565,000",219225,"$219,225"
San Antonio,TX,29.4167,-98.5,11,0,"$0",22834000,"$22,834,000",2075818,"$2,075,818"
San Francisco,CA,37.7833,-122.4167,67,500000,"$500,000",60724119,"$60,724,119",3726616,"$3,726,616"
Sandy,UT,40.5725,-111.8597,28,0,"$0",862500,"$862,500",30803,"$30,803"
Santa Monica,CA,34.0219,-118.4814,19,0,"$0",30321477,"$30,321,477",1595867,"$1,595,867"
Seattle,WA,47.6097,-122.3331,61,1500000,"$1,500,000",45967404,"$45,967,404",1528338,"$1,528,338"
St. Louis,MO,38.6272,-90.1978,24,0,"$0",63049452,"$63,049,452",2627060,"$2,627,060"
Washington,DC,38.8951,-77.0367,6,0,"$0",2246100,"$2,246,100",374350,"$374,350"
